No,n,k,r,h,DFS_path_length,DFS_path_time_ms,BFS_path_length,BFS_path_time_ms,A*_path_length,A*_path_time_ms,Bidirectional_BFS_path_length,Bidirectional_BFS_path_time_ms,HGBPC_uf_build_time_ms,HGBPC_uf_query_time_ms,HGBPC_path_length,HGBPC_path_time_ms
1,4,4,2,0,142.64,0.7,3.99,0.486,3.6,0.08020000000000001,3.9,0.10129999999999999,1.386,0.001,4.16,0.013
2,4,4,2,1,129.12,0.65,4.02,0.469,3.9,0.079,4.0,0.09780000000000003,1.352,0.001,4.19,0.011
3,4,4,3,0,147.13,0.708,4.09,0.454,4.2,0.0838,4.4,0.12550000000000003,1.246,0.001,4.37,0.013
4,4,4,3,1,120.06,0.573,3.89,0.396,4.3,0.0846,4.2,0.08020000000000001,1.188,0.001,4.0,0.007
5,4,4,4,0,125.07,0.59,4.07,0.437,3.7,0.051500000000000004,3.7,0.0678,1.176,0.001,4.44,0.009
6,4,4,4,1,110.22,0.529,3.93,0.368,3.6,0.06319999999999999,3.6,0.042499999999999996,1.051,0.001,4.25,0.015
7,5,4,2,0,588.89,12.402,4.76,2.676,4.5,0.22679999999999995,4.5,0.34299999999999997,8.226,0.001,4.85,0.016
8,5,4,2,1,621.01,12.988,4.38,2.105,4.0,0.1176,4.4,0.3429,7.995,0.001,4.57,0.013
9,5,4,3,0,581.18,11.908,4.61,2.426,4.1,0.1347,4.2,0.36629999999999996,7.878,0.001,4.86,0.015
10,5,4,3,1,510.91,9.694,4.58,2.255,4.4,0.1365,4.5,0.22879999999999998,7.509,0.001,4.81,0.013
11,5,4,4,0,578.61,12.094,4.57,2.285,4.5,0.21099999999999997,4.5,0.31600000000000006,7.85,0.001,4.89,0.015
12,5,4,4,1,495.39,8.793,4.62,2.241,4.4,0.14320000000000002,4.5,0.2709999999999999,7.688,0.001,4.91,0.018
13,6,4,2,0,2317.27,279.004,5.25,12.693,5.9,0.6238999999999999,6.0,2.2110000000000003,43.664,0.001,5.63,0.023
14,6,4,2,1,2515.94,314.675,5.27,12.7,5.0,0.3708,4.9,1.1584,43.624,0.001,5.48,0.023
15,6,4,3,0,2428.46,301.32,5.22,12.697,5.0,0.3676,5.0,0.9111,45.444,0.001,5.41,0.022
16,6,4,3,1,2298.59,259.599,5.31,12.5,5.6,0.6813,5.7,1.6884000000000001,43.15,0.001,5.52,0.022
17,6,4,4,0,2373.94,296.254,5.43,14.333,5.2,0.4399,5.5,1.0096,48.327,0.002,5.69,0.026
18,6,4,4,1,2561.98,326.241,5.15,11.736,5.5,0.4882000000000001,5.6,1.5486,44.329,0.001,5.48,0.022
Avg,-,-,-,-,1035.9116666666669,102.70677777777776,4.61888888888889,5.180944444444445,4.522222222222222,0.24354444444444445,4.616666666666667,0.6061222222222223,17.949055555555557,0.001055555555555556,4.861666666666667,0.016444444444444442
